city,province,tier,latitude,longitude,monthly_rack_rent_yuan,land_cost_per_sqm,grid_capacity_score,distance_to_demand_km,gov_subsidy_score,notes
北京,北京,T1,39.9042,116.4074,7500,2800,6,0,3,核心需求中心但能耗双控严
上海,上海,T1,31.2304,121.4737,7800,3200,6,0,3,同上;土地稀缺
广州,广东,T1,23.1291,113.2644,7200,2400,7,0,4,需求中心但能耗管控
深圳,广东,T1,22.5431,114.0579,7600,3500,5,0,3,能耗约束严
张家口,河北,T2,40.7686,114.8868,4800,180,9,200,9,京津冀核心承接地;风电富集
韶关,广东,T2,24.8014,113.5917,4500,220,8,250,9,粤港澳承接;政策红利
芜湖,安徽,T2,31.3526,118.4331,4800,300,7,300,8,长三角承接
青浦,上海,T2,31.15,121.1247,6500,1800,6,80,7,长三角节点;临近核心
贵安新区,贵州,T3,26.4148,106.6354,3500,150,9,1500,10,电价最低+气候+政策三重利好
中卫,宁夏,T3,37.5149,105.1897,3200,120,9,1200,10,沙漠散热;西部节点
庆阳,甘肃,T3,35.734,107.6438,3300,130,8,1100,9,西北节点;新建
和林格尔,内蒙古,T3,40.3792,111.8228,3400,140,9,500,9,内蒙古节点;距京近
乌兰察布,内蒙古,T3,40.9941,113.1404,3600,160,9,350,8,亚洲数据中心之都;阿里腾讯都在此
天府新区,四川,T2,30.5728,104.0668,4500,400,7,1300,7,成渝枢纽
两江新区,重庆,T2,29.563,106.5516,4400,380,7,1400,7,成渝枢纽
惠州,广东,T2,23.1117,114.4161,5200,500,7,80,7,粤港澳延伸
清远,广东,T3,23.6817,113.0561,4200,200,7,150,7,粤北
南京,江苏,T2,32.0603,118.7969,5800,1800,7,250,6,长三角
杭州,浙江,T2,30.2741,120.1551,5500,2200,7,180,6,长三角
苏州,江苏,T2,31.2989,120.5853,5500,2000,7,100,6,长三角
呼和浩特,内蒙古,T3,40.8414,111.7519,3500,150,9,600,8,西部新兴
银川,宁夏,T3,38.4872,106.2309,3300,130,8,1100,9,西部新兴
兰州,甘肃,T3,36.0611,103.8343,3500,180,7,1300,8,西北
西宁,青海,T3,36.6232,101.7804,3400,150,8,1600,9,清洁能源
廊坊,河北,T2,39.5384,116.6837,5500,800,7,40,7,环京;GDS/润泽都在此
南通,江苏,T2,31.9802,120.8943,5000,800,7,150,7,长三角;GDS布局
