city,province,avg_annual_temp_c,avg_summer_temp_c,cooling_advantage_score,latitude,longitude,notes
北京,北京,12.9,26.2,5,39.9042,116.4074,夏季较热
上海,上海,17.1,28.4,3,31.2304,121.4737,湿热
广州,广东,22.4,28.5,1,23.1291,113.2644,亚热带;散热不利
深圳,广东,23.0,28.8,1,22.5431,114.0579,亚热带
韶关,广东,20.8,27.8,3,24.8014,113.5917,粤北较凉
张家口,河北,8.5,21.2,9,40.7686,114.8868,坝上高原;天然冷源
中卫,宁夏,9.5,22.8,9,37.5149,105.1897,沙漠气候;昼夜温差大
贵安新区,贵州,15.2,22.5,7,26.4148,106.6354,海拔高;夏季凉爽
贵阳,贵州,15.3,23.0,7,26.647,106.6302,海拔高;夏季凉爽
和林格尔,内蒙古,6.2,21.5,10,40.3792,111.8228,内蒙古高原;极冷
呼和浩特,内蒙古,6.7,22.0,10,40.8414,111.7519,内蒙古高原
庆阳,甘肃,9.8,22.0,8,35.734,107.6438,黄土高原
兰州,甘肃,10.3,22.4,7,36.0611,103.8343,西北
西宁,青海,6.0,17.5,10,36.6232,101.7804,青藏高原;极冷
银川,宁夏,9.0,23.2,9,38.4872,106.2309,西北
乌兰察布,内蒙古,4.3,19.8,10,40.9941,113.1404,海拔高;极冷;被誉为亚洲数据中心之都
成都,四川,16.1,25.6,5,30.5728,104.0668,盆地;湿润
重庆,重庆,18.5,28.0,2,29.563,106.5516,火炉
武汉,湖北,17.3,28.8,2,30.5928,114.3055,火炉
南京,江苏,15.8,27.5,3,32.0603,118.7969,长三角
杭州,浙江,17.0,28.6,3,30.2741,120.1551,长三角
苏州,江苏,16.5,28.0,3,31.2989,120.5853,长三角
芜湖,安徽,15.9,28.0,4,31.3526,118.4331,芜湖节点
青浦,上海,16.5,28.0,4,31.15,121.1247,长三角节点
惠州,广东,22.0,28.4,1,23.1117,114.4161,粤港澳延伸
清远,广东,22.0,28.5,2,23.6817,113.0561,粤北较凉
